ApplStandard,Brand,Cap,Cap (Second Drum),CEC Cold,CEC Cold (Second Drum),Labelled energy consumption (kWh/year),CEC_ (Second Drum),Cold Prog,Cold Prog (Second Drum),Cold Wat Cons,Cold Wat Cons (Second Drum),Combination,Combination (Second Drum),Conn_Mode,Conn_Mode (Second Drum),Country,delayStartMode,delayStartMode (Second Drum),Depth,Depth (Second Drum),DetergentType,DetergentType (Second Drum),Height,Height (Second Drum),Hot Wat Cons,Hot Wat Cons (Second Drum),internal_heater,internal_heater (Second Drum),Loading,Loading (Second Drum),MachineAction,MachineAction (Second Drum),Model No,Family Name,N-Standard,New SRI,New SRI (Second Drum),New Star,New Star (Second Drum),postProgenergy,postProgenergy (Second Drum),powerConsMode,powerConsMode (Second Drum),Prog Name,Prog Name (Second Drum),Sold_in,standbyPowerUsage,standbyPowerUsage (Second Drum),Submit_ID,SubmitStatus,Test Prog Time,Test Prog Time (Second Drum),Tot Wat Cons,Tot Wat Cons (Second Drum),Type,Type (Second Drum),WEI,WEI (Second Drum),Width,Width (Second Drum),ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Program Time,Program Time (Second Drum),Hot Water (L),Hot Water (L) (Second Drum),Cold Water (L),Cold Water (L) (Second Drum),Star Rating (old),Star Image Large,Star Image Large (Second Drum),Star Image Small,Star Image Small (Second Drum),Registration Number
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIELE,8,-,-,-,231,-,-,-,-,-,No,-,Cold,-,"Czechia,Germany",Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WxD 660,WxD 660,AS/NZS 2040.1:2005/Amdt 3:2010,4.72813016575462,-,4.5,-,0.001,-,0.3,-,Cottons 40C,-,"Australia,New Zealand",0.3,-,168981,Approved,237.0,-,0.0,-,Drum,-,0.52,-,-,-,2030-08-20,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,237.0,-,63.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1543
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,TECO,10,-,-,-,790,-,-,-,-,-,No,-,Dual,-,China,No,-,505.0,-,Non Drum,-,995.0,-,-,-,No,-,Twin Tub,-,Impeller,-,TWM100TTBH,,AS/NZS 2040.1:2005/Amdt 3:2010,2.23264926005971,-,2.0,-,3e-05,-,0.03,-,"Normal (Standard wash 40 min, 60°C warm water and 20°C cold water; Spin Twice, 3 min each; rinse once for 15 min with 20°C cold water, spin twice, 5 min each; Water level M)",-,Australia,-,-,169044,Approved,71.0,-,0.0,-,Non-Drum,-,0.67,-,855.0,-,2030-06-22,,Single product class,Available,http://www.teco.com.au/,http://www.teco.com.au/,71.0,-,145.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ACW1542
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Haier,10,-,-,-,219,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,HWF10NW1,HWF10N Series,,5.094256652570023,-,5.0,-,2e-05,-,0.431,-,"Cotton, Detergent: OFF, Softener: OFF, Temp.: 40C, Spin: 1400",-,"Australia,New Zealand",0.43,-,169049,Approved,317.0,-,0.0,-,Drum,-,0.5726,-,-,-,2030-05-05,,Single product class,Available,http://www.haier.cn/,http://www.haier.com.au/,317.0,-,86.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW1546
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Haier,10,-,-,-,219,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,HWF10NB1,HWF10N Series,,5.094256652570023,-,5.0,-,2e-05,-,0.431,-,"Cotton, Detergent: OFF, Softener: OFF, Temp.: 40C, Spin: 1400",-,"Australia,New Zealand",0.43,-,169049,Approved,317.0,-,0.0,-,Drum,-,0.5726,-,-,-,2030-05-05,,Single product class,Available,http://www.haier.cn/,http://www.haier.com.au/,317.0,-,86.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW1546
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Haier,10,-,-,-,219,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,HWF10N Series,HWF10N Series,,5.094256652570023,-,5.0,-,2e-05,-,0.431,-,"Cotton, Detergent: OFF, Softener: OFF, Temp.: 40C, Spin: 1400",-,"Australia,New Zealand",0.43,-,169049,Approved,317.0,-,0.0,-,Drum,-,0.5726,-,-,-,2030-05-05,,Single product class,Available,http://www.haier.cn/,http://www.haier.com.au/,317.0,-,86.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW1546
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,BOSCH,9,-,-,-,215,-,-,-,-,-,No,-,Cold,-,Germany,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WGG244A1AU,F44-CA10-Ahi,AS/NZS 2040.1:2005/Amdt 3:2010,5.005823733436705,-,5.0,-,0.0004,-,0.29,-,"Cottons Eco 60 degrees C, 1400 rpm",-,"Australia,Fiji,New Zealand",0.09,-,169213,Approved,339.9,-,0.0,-,Drum,-,0.55,-,-,-,2030-09-24,,Single product class,Available,,http://www.bosch-home.com.au/,339.9,-,78.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW1625
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,BOSCH,9,-,-,-,215,-,-,-,-,-,No,-,Cold,-,Germany,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WGG24403AU,F44-CA10-Ahi,AS/NZS 2040.1:2005/Amdt 3:2010,5.005823733436705,-,5.0,-,0.0004,-,0.29,-,"Cottons Eco 60 degrees C, 1400 rpm",-,"Australia,Fiji,New Zealand",0.09,-,169213,Approved,339.9,-,0.0,-,Drum,-,0.55,-,-,-,2030-09-24,,Single product class,Available,,http://www.bosch-home.com.au/,339.9,-,78.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW1625
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,BOSCH,9,-,-,-,215,-,-,-,-,-,No,-,Cold,-,Germany,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,F44-CA10-Ahi,F44-CA10-Ahi,AS/NZS 2040.1:2005/Amdt 3:2010,5.005823733436705,-,5.0,-,0.0004,-,0.29,-,"Cottons Eco 60 degrees C, 1400 rpm",-,"Australia,Fiji,New Zealand",0.09,-,169213,Approved,339.9,-,0.0,-,Drum,-,0.55,-,-,-,2030-09-24,,Single product class,Available,,http://www.bosch-home.com.au/,339.9,-,78.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW1625
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,TCL,10,-,-,-,241,-,-,-,-,-,No,-,Cold,-,China,No,-,850.0,-,Drum,-,650.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WF10P11W,WF10P11,AS/NZS 2040.1:2005/Amdt 3:2010,5.005311633378582,-,5.0,-,0.0,-,0.4,-,"Cotton, 40oC, 1400rpm",-,"Australia,New Zealand",0.4,-,167406,Approved,331.0,-,0.0,-,Drum,-,0.5436,-,595.0,-,2030-03-06,,Single product class,Available,https://www.tcl.com/au,http://www.tclelectronics.com.au,331.0,-,80.1,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW1526
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,TCL,10,-,-,-,241,-,-,-,-,-,No,-,Cold,-,China,No,-,850.0,-,Drum,-,650.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WF10P11G,WF10P11,AS/NZS 2040.1:2005/Amdt 3:2010,5.005311633378582,-,5.0,-,0.0,-,0.4,-,"Cotton, 40oC, 1400rpm",-,"Australia,New Zealand",0.4,-,167406,Approved,331.0,-,0.0,-,Drum,-,0.5436,-,595.0,-,2030-03-06,,Single product class,Available,https://www.tcl.com/au,http://www.tclelectronics.com.au,331.0,-,80.1,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW1526
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,TCL,10,-,-,-,241,-,-,-,-,-,No,-,Cold,-,China,No,-,850.0,-,Drum,-,650.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WF10P11,WF10P11,AS/NZS 2040.1:2005/Amdt 3:2010,5.005311633378582,-,5.0,-,0.0,-,0.4,-,"Cotton, 40oC, 1400rpm",-,"Australia,New Zealand",0.4,-,167406,Approved,331.0,-,0.0,-,Drum,-,0.5436,-,595.0,-,2030-03-06,,Single product class,Available,https://www.tcl.com/au,http://www.tclelectronics.com.au,331.0,-,80.1,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW1526
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIELE,9,-,-,-,230,-,-,-,-,-,No,-,Cold,-,"Germany,Czechia,Poland",Yes,-,-,-,Drum - sodium percarbonate,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WQ 1000 WPS,,AS/NZS 2040.1:2005/Amdt 3:2010,5.002582933466482,-,5.0,-,0.002,-,0.17405,-,ECO 40-60,-,"Australia,New Zealand",0.17865,-,169506,Approved,269.33,-,0.0,-,Drum,-,0.50164,-,-,-,2030-05-19,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,269.33,-,64.8,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW1549
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Hitachi,10,-,-,-,245,-,-,-,-,-,No,-,Dual,-,Thailand,Yes,-,656.0,-,Drum,-,1088.0,-,-,-,No,-,Top,-,Impeller,-,LTL10PMVJWT,,AS/NZS 2040.1:2005/Amdt 3:2010,4.507433506587075,-,4.5,-,1e-05,-,1.73,-,"Water save, Warm, Wash time 48min, 2 rinses, Spin time 9min,",-,"Australia,Fiji,New Zealand",1.73,-,169388,Approved,189.33,-,0.0,-,Non-Drum,-,0.74496,-,590.0,-,2030-05-22,,Single product class,Available,http://www.beko.com.au/,,190.0,-,123.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1550
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIELE,7,-,-,-,236,-,-,-,-,-,No,-,Cold,-,"Czechia,Germany,Poland",Yes,-,636.0,-,Drum,-,850.0,-,-,-,Yes on both the warm and cold wash programs,-,Front,-,-,-,WCA020,,AS/NZS 2040.1:2005/Amdt 3:2010,4.307175624613018,-,4.0,-,0.0007,-,0.23,-,Eco 40-60 with temperature selection 40,-,"Australia,New Zealand",0.23,-,169837,Approved,238.0,-,0.0,-,Drum,-,0.57,-,596.0,-,2030-11-26,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,238.0,-,68.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1553
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,SAMSUNG ELECTRONICS,8.5,-,198,-,333,-,"E Cotton, Temp Cold, Rinse 2, Spin 1400, Intensive",-,67.6,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,0.5,-,Yes on the warm wash program only,-,Front,-,-,-,WW85T554DAB,WW85T554DAW,AS/NZS 2040.1:2005/Amdt 3:2010,4.014353640840211,-,4.0,-,0.000207,-,1.251,-,"E Cotton, Temp 40, Rinse 2, Spin 1400, Intensive",-,"Australia,Fiji,New Zealand",1.254,-,169991,Approved,304.0,-,68.1,-,Drum,-,0.55813,-,-,-,2030-08-18,,Single product class,Available,,http://www.samsung.com.au,304.0,-,73.0,-,73.0,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1561
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,SAMSUNG ELECTRONICS,8.5,-,198,-,333,-,"E Cotton, Temp Cold, Rinse 2, Spin 1400, Intensive",-,67.6,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,0.5,-,Yes on the warm wash program only,-,Front,-,-,-,WW85T654DLE,WW85T554DAW,AS/NZS 2040.1:2005/Amdt 3:2010,4.014353640840211,-,4.0,-,0.000207,-,1.251,-,"E Cotton, Temp 40, Rinse 2, Spin 1400, Intensive",-,"Australia,Fiji,New Zealand",1.254,-,169991,Approved,304.0,-,68.1,-,Drum,-,0.55813,-,-,-,2030-08-18,,Single product class,Available,,http://www.samsung.com.au,304.0,-,73.0,-,73.0,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1561
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,SAMSUNG ELECTRONICS,8.5,-,198,-,333,-,"E Cotton, Temp Cold, Rinse 2, Spin 1400, Intensive",-,67.6,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,0.5,-,Yes on the warm wash program only,-,Front,-,-,-,WW85T754DBT,WW85T554DAW,AS/NZS 2040.1:2005/Amdt 3:2010,4.014353640840211,-,4.0,-,0.000207,-,1.251,-,"E Cotton, Temp 40, Rinse 2, Spin 1400, Intensive",-,"Australia,Fiji,New Zealand",1.254,-,169991,Approved,304.0,-,68.1,-,Drum,-,0.55813,-,-,-,2030-08-18,,Single product class,Available,,http://www.samsung.com.au,304.0,-,73.0,-,73.0,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1561
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,SAMSUNG ELECTRONICS,8.5,-,198,-,333,-,"E Cotton, Temp Cold, Rinse 2, Spin 1400, Intensive",-,67.6,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,0.5,-,Yes on the warm wash program only,-,Front,-,-,-,WW85T554DAW,WW85T554DAW,AS/NZS 2040.1:2005/Amdt 3:2010,4.014353640840211,-,4.0,-,0.000207,-,1.251,-,"E Cotton, Temp 40, Rinse 2, Spin 1400, Intensive",-,"Australia,Fiji,New Zealand",1.254,-,169991,Approved,304.0,-,68.1,-,Drum,-,0.55813,-,-,-,2030-08-18,,Single product class,Available,,http://www.samsung.com.au,304.0,-,73.0,-,73.0,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1561
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,SAMSUNG ELECTRONICS,8.5,-,198,-,333,-,"E Cotton, Temp Cold, Rinse 2, Spin 1400, Intensive",-,67.6,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,0.5,-,Yes on the warm wash program only,-,Front,-,-,-,WW85T504DAE,WW85T554DAW,AS/NZS 2040.1:2005/Amdt 3:2010,4.014353640840211,-,4.0,-,0.000207,-,1.251,-,"E Cotton, Temp 40, Rinse 2, Spin 1400, Intensive",-,"Australia,Fiji,New Zealand",1.254,-,169991,Approved,304.0,-,68.1,-,Drum,-,0.55813,-,-,-,2030-08-18,,Single product class,Available,,http://www.samsung.com.au,304.0,-,73.0,-,73.0,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1561
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Hafele,8,-,-,-,244,-,-,-,0.0,-,No,-,Cold,-,China,Yes,-,475.0,-,Drum,-,850.0,-,0.0,-,No,-,Front,-,-,-,HZFLW80W,,AS/NZS 2040.1:2005/Amdt 3:2010,4.5541813140543566,-,4.5,-,0.0,-,0.4,-,ECO  WASH,-,"Australia,Fiji,New Zealand",0.4,-,169994,Approved,397.998,-,0.0,-,Drum,-,0.546,-,595.0,-,2030-06-25,,Single product class,Available,,,397.998,-,68.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1568
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,FISHER & PAYKEL,8,-,91,-,299,-,-,-,-,-,No,-,Dual,-,Thailand,Yes,-,-,-,Drum,-,-,-,-,-,No,-,Top,-,-,-,WL8060P1,,AS/NZS 2040.1:2005/Amdt 3:2010,4.097225905618022,-,4.0,-,0.0004,-,1.2,-,"Regular, High Efficiency On, Warm/Cold, Eco Rinse",-,"Australia,New Zealand",0.0,-,170133,Approved,70.0,-,0.0,-,Drum,-,0.6,-,-,-,2030-06-11,,Single product class,Available,,,70.0,-,82.0,-,82.0,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1555
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIELE,8,-,-,-,235,-,-,-,-,-,Yes,-,Cold,-,"Germany,Czechia,Poland",Yes,-,637.0,-,Drum,-,850.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WTD 161 WCS,,AS/NZS 2040.1:2005/Amdt 3:2010,4.788173325993259,-,4.5,-,0.0008,-,0.2004,-,ECO 40-60,-,"Australia,New Zealand",0.22165,-,170214,Approved,300.0,-,0.0,-,Drum,-,0.48,-,596.0,-,2030-06-16,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,300.0,-,67.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1556
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIELE,9,-,-,-,230,-,-,-,-,-,Yes,-,Cold,-,"Czechia,Poland,Germany",Yes,-,714.0,-,Drum,-,850.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WTW 871 WPM,,AS/NZS 2040.1:2005/Amdt 3:2010,5.0036628329049515,-,5.0,-,0.0011,-,0.04524,-,ECO 40-60,-,"Australia,New Zealand",0.04515,-,170221,Approved,301.0,-,0.0,-,Drum,-,0.50333,-,596.0,-,2030-06-16,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,301.0,-,76.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW1557
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIELE,9,-,-,-,219,-,-,-,-,-,No,-,Dual,-,"Germany,Czechia,Poland",Yes,-,636.0,-,Drum,-,850.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WWR 861,,AS/NZS 2040.1:2005/Amdt 3:2010,5.103502597981979,-,5.0,-,0.0054,-,0.18,-,Cotton 40°C with frame,-,"Australia,New Zealand",0.18,-,170225,Approved,270.0,-,0.0,-,Drum,-,0.5,-,596.0,-,2030-06-16,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,270.0,-,64.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW1558
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,FISHER & PAYKEL,9,-,-,-,275,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WH9060P,WH9060P,AS/NZS 2040.1:2005/Amdt 3:2010,4.533000721519706,-,4.5,-,0.0003,-,0.8,-,Cottons 40 Eco program,-,"Australia,New Zealand",0.8,-,170227,Approved,292.0,-,0.0,-,Drum,-,0.55,-,-,-,2030-06-24,,Single product class,Available,,,292.0,-,77.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1562
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,FISHER & PAYKEL,9,-,-,-,275,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WH9060P4,WH9060P,AS/NZS 2040.1:2005/Amdt 3:2010,4.533000721519706,-,4.5,-,0.0003,-,0.8,-,Cottons 40 Eco program,-,"Australia,New Zealand",0.8,-,170227,Approved,292.0,-,0.0,-,Drum,-,0.55,-,-,-,2030-06-24,,Single product class,Available,,,292.0,-,77.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1562
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,FISHER & PAYKEL,9,-,-,-,275,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WH9060P3,WH9060P,AS/NZS 2040.1:2005/Amdt 3:2010,4.533000721519706,-,4.5,-,0.0003,-,0.8,-,Cottons 40 Eco program,-,"Australia,New Zealand",0.8,-,170227,Approved,292.0,-,0.0,-,Drum,-,0.55,-,-,-,2030-06-24,,Single product class,Available,,,292.0,-,77.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1562
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,FISHER & PAYKEL,8.5,-,-,-,329,-,-,-,-,-,No,-,Dual,-,China,Yes,-,645.0,-,Drum,-,850.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WH8560F1,,AS/NZS 2040.1:2005/Amdt 3:2010,4.054214550790715,-,4.0,-,1e-05,-,0.1,-,"Cottons, 40 Deg C, Eco Rinse",-,"Australia,New Zealand",0.0,-,170232,Approved,287.0,-,0.0,-,Drum,-,0.55,-,600.0,-,2030-08-26,,Single product class,Available,,,287.0,-,61.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1564
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,FISHER & PAYKEL,8,-,-,-,319,-,-,-,-,-,No,-,Dual,-,China,Yes,-,645.0,-,Drum,-,850.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WH8060F1,,AS/NZS 2040.1:2005/Amdt 3:2010,4.069589334263707,-,4.0,-,1e-05,-,0.1,-,"Cottons, 40 Deg C, Eco Rinse",-,"Australia,New Zealand",0.0,-,170233,Approved,283.0,-,0.0,-,Drum,-,0.51,-,600.0,-,2030-08-27,,Single product class,Available,,,283.0,-,57.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1563
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIELE,9,-,-,-,261,-,-,-,-,-,No,-,Dual,-,"Germany,Czechia,Poland",Yes,-,643.0,-,Drum,-,850.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WWI 861,,AS/NZS 2040.1:2005/Amdt 3:2010,4.731665090877629,-,4.5,-,0.001,-,0.258,-,Cotton 40°C with frame,-,"Australia,New Zealand",0.258,-,170234,Approved,237.0,-,0.0,-,Drum,-,0.51333,-,596.0,-,2030-06-24,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,237.0,-,76.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1566
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Haier,6,-,115,-,505,-,Normal,-,-,-,No,-,Dual,-,China,Yes,-,520.0,-,Drum,-,930.0,-,-,-,No,-,Top,-,-,-,HWMSP60,,AS/NZS 2040.1:2005/Amdt 3:2010,2.0159652632518905,-,2.0,-,1.8e-06,-,1.8e-06,-,"Normal wash cycle, warm cold, wash ""Long"", rinse I stage, spin 9 min, water level 8",-,"Australia,New Zealand",0.0,-,170252,Approved,117.28,-,0.0,-,Drum,-,0.72928,-,530.0,-,2030-08-10,,Single product class,Available,http://www.haier.cn/,http://www.haier.com.au/,117.28,-,73.0,-,73.0,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ACW1565
